Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,170601_Blk_2c,Heavy Sulfolactic Acid,12.96,68871560,383824,6735094,-4.1,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Sulfolactic Acid,12.99,6988727,0,521832,-4.4,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Sulfolactic Acid,12.97,6834336,0,543476,-4.3,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Sulfolactic Acid,12.78,7035868,0,488214,-4.4,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Sulfolactic Acid,12.97,9590118,0,897040,-3.4,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Sulfolactic Acid,12.96,9143803,0,767233,-3.9,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Sulfolactic Acid,12.96,8920365,0,772091,-4,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Sulfolactic Acid,12.96,3990703,0,396772,-4,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Sulfolactic Acid,12.91,4588551,0,389238,-3.7,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Sulfolactic Acid,12.94,4095807,0,343216,-4,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Sulfolactic Acid,12.83,71114792,759471,5778750,-4,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Sulfolactic Acid,12.7,74427616,793839,5871435,-3.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Sulfolactic Acid,12.69,74441272,197583,6173107,-4.2,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Sulfolactic Acid,12.76,35855108,0,3019077,-4.3,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Sulfolactic Acid,12.64,40718140,0,3190167,-4,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Sulfolactic Acid,12.61,39392872,75413,3146090,-4,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Sulfolactic Acid,12.99,9263008,0,889112,-4,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Sulfolactic Acid,12.94,7736440,0,704577,-3.5,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Sulfolactic Acid,13.01,8818365,0,863153,-3.9,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Sulfolactic Acid,12.97,9354015,37992,766401,-3.8,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Sulfolactic Acid,12.99,7930789,0,723547,-3.8,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Sulfolactic Acid,12.99,8094297,0,675141,-3.9,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Sulfolactic Acid,12.85,73313688,574598,6067749,-3.9,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Sulfolactic Acid,12.81,67279792,680832,5908827,-4.1,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Sulfolactic Acid,12.72,74053992,0,5684262,-4.2,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Sulfolactic Acid,12.83,67655624,102339,5653053,-3.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Sulfolactic Acid,12.72,72180712,457735,5793880,-4.3,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Sulfolactic Acid,12.8,69424880,435180,5750005,-4.2,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Sulfolactic Acid,13.1,1926335,0,195407,-3.8,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Sulfolactic Acid,12.83,2419387,0,198308,-4,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Sulfolactic Acid,12.43,2801117,0,222755,-3.9,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Isotheonic Acid,4.89,101275784,445873,1732119,-8.1,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Isotheonic Acid,4.85,55652064,0,837008,-8.1,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Isotheonic Acid,4.77,55245320,0,839999,-8.5,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Isotheonic Acid,4.96,41171748,0,600739,-8.3,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Isotheonic Acid,4.94,43534800,0,687383,-8.3,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Isotheonic Acid,4.88,50296300,0,779161,-8.1,Internal Standard
